name,ages,team,play_year,country,打,投,出賽數,打席,打數,打點,得分,安打,一安,二安,三安,全壘打,壘打數,被三振,盜壘,上壘率,長打率,打擊率,雙殺打,犧短,犧飛,四壞,故四,死球,盜壘刺,滾地出局,高飛出局,滾飛出局比,盜壘率,整體攻擊指數
廖述仁0,24,味全龍,1996,中華民國,左打,左投,29,27,25,2,4,4,2,2,0,0,6,9,0,0.192,0.24,0.16,0,1,0,1,0,0,1,8,5,1.6,0.0,0.43200000000000005
廖述仁0,25,味全龍,1997,中華民國,左打,左投,27,47,43,4,6,9,6,1,0,2,16,15,0,0.244,0.37200000000000005,0.209,0,2,0,2,0,0,1,16,5,3.2,0.0,0.616
廖述仁0,25,時報,1997,中華民國,左打,左投,46,176,162,11,15,40,30,7,1,2,55,53,0,0.295,0.34,0.247,2,2,0,10,1,1,4,42,29,1.4480000000000002,0.0,0.635
廖述仁0,26,味全龍,1998,中華民國,左打,左投,47,59,53,7,7,11,7,4,0,0,15,21,0,0.276,0.28300000000000003,0.20800000000000002,0,1,0,4,0,1,1,10,12,0.833,0.0,0.5589999999999999
廖述仁0,27,味全龍,1999,中華民國,左打,左投,50,63,53,9,8,10,9,0,0,1,13,14,3,0.28300000000000003,0.245,0.18899999999999997,0,3,0,4,0,3,1,24,8,3.0,0.75,0.528
張偉聖52,21,統一7-ELEVEn獅,2018,中華民國,左打,右投,4,10,10,0,1,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0,0,0,0,0,0,0,3,3,1.0,0.0,0.0
張偉聖52,22,統一7-ELEVEn獅,2019,中華民國,左打,右投,11,39,37,3,2,7,5,2,0,0,9,15,0,0.205,0.243,0.18899999999999997,0,0,1,0,0,1,0,13,3,4.333,0.0,0.44799999999999995
張偉聖52,23,統一7-ELEVEn獅,2020,中華民國,左打,右投,29,75,65,2,13,17,13,2,1,1,24,18,2,0.36,0.369,0.262,0,0,0,10,0,0,3,20,10,2.0,0.4,0.7290000000000001
張偉聖52,24,統一7-ELEVEn獅,2021,中華民國,左打,右投,8,23,20,2,4,8,8,0,0,0,8,3,3,0.455,0.4,0.4,1,1,0,1,0,1,1,10,0,0.0,0.75,0.855
張冠廷33,19,富邦悍將,2017,中華民國,左打,右投,5,7,7,0,0,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0
張冠廷33,22,富邦悍將,2020,中華民國,左打,右投,5,8,8,0,0,1,1,0,0,0,1,3,0,0.125,0.125,0.125,0,0,0,0,0,0,0,2,2,1.0,0.0,0.25
張冠廷33,23,富邦悍將,2021,中華民國,左打,右投,18,52,46,1,7,11,7,4,0,0,15,16,1,0.314,0.326,0.239,0,1,0,4,0,1,1,12,8,1.5,0.5,0.64
張協進0,26,俊國,1995,中華民國,右打,右投,50,78,74,5,8,16,14,2,0,0,18,15,1,0.247,0.243,0.21600000000000003,3,1,0,2,0,1,1,22,22,1.0,0.5,0.49
張協進0,27,興農,1996,中華民國,右打,右投,43,81,79,7,6,14,10,1,1,2,23,23,0,0.188,0.29100000000000004,0.177,0,1,0,1,0,0,0,27,16,1.6880000000000002,0.0,0.479
張協進0,28,興農,1997,中華民國,右打,右投,66,201,196,22,13,50,34,13,0,3,72,40,1,0.263,0.36700000000000005,0.255,2,3,0,1,0,1,3,60,49,1.224,0.25,0.63
張協進0,29,興農,1998,中華民國,右打,右投,74,247,227,22,23,48,43,4,1,0,54,33,2,0.23,0.23800000000000002,0.21100000000000002,3,12,2,4,0,2,2,100,60,1.6669999999999998,0.5,0.46799999999999997
張協進0,30,興農,1999,中華民國,右打,右投,86,340,322,22,29,78,62,15,1,0,95,48,3,0.264,0.295,0.242,4,7,1,5,0,5,6,115,89,1.2919999999999998,0.33,0.5589999999999999
張協進0,31,兄弟,2000,中華民國,右打,右投,49,163,150,17,17,26,19,6,0,1,35,22,1,0.209,0.233,0.17300000000000001,6,5,1,7,0,0,1,67,41,1.6340000000000001,0.5,0.442
張士凱11,28,兄弟,2005,中華民國,左打,左投,1,1,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
張天麟0,26,俊國,1993,中華民國,右打,右投,88,317,269,22,35,64,50,6,7,1,87,45,11,0.299,0.32299999999999995,0.23800000000000002,8,19,4,21,0,4,4,127,56,2.2680000000000002,0.73,0.622
張天麟0,27,俊國,1994,中華民國,右打,右投,86,324,298,32,40,72,48,19,4,1,102,38,21,0.282,0.342,0.242,2,8,1,17,0,0,7,126,71,1.775,0.75,0.624
張天麟0,28,俊國,1995,中華民國,右打,右投,93,272,238,25,22,59,52,2,4,1,72,26,10,0.307,0.303,0.248,4,11,2,18,0,3,11,117,49,2.388,0.48,0.61
張天麟0,29,興農,1996,中華民國,右打,右投,97,367,318,31,46,80,65,9,2,4,105,58,17,0.32,0.33,0.252,8,16,0,26,1,6,5,118,78,1.5130000000000001,0.77,0.65
張天麟0,30,興農,1997,中華民國,右打,右投,86,332,297,26,33,74,62,7,1,4,95,55,11,0.31,0.32,0.249,8,6,2,27,0,0,4,99,77,1.286,0.73,0.63
張家浩12,24,興農,2000,中華民國,左打,右投,37,91,84,8,8,19,15,2,2,0,25,21,2,0.278,0.298,0.226,0,1,0,5,0,1,2,29,16,1.8130000000000002,0.5,0.5760000000000001
張家浩12,25,興農,2001,中華民國,左打,右投,80,301,268,17,39,62,49,11,2,0,77,48,5,0.28300000000000003,0.287,0.231,2,7,4,20,1,1,7,115,54,2.13,0.42,0.57
張家浩12,26,興農,2002,中華民國,左打,右投,90,395,338,29,63,93,64,19,7,3,135,65,17,0.36200000000000004,0.39899999999999997,0.275,5,11,0,42,0,4,6,111,80,1.3880000000000001,0.74,0.7609999999999999
張家浩12,27,興農,2003,中華民國,左打,右投,95,353,315,24,40,82,68,9,5,0,101,57,17,0.326,0.321,0.26,5,6,1,26,0,5,7,95,88,1.08,0.71,0.647
張家浩12,28,興農,2004,中華民國,左打,右投,97,361,321,21,40,78,65,9,3,1,96,68,14,0.306,0.299,0.243,3,8,2,27,0,3,4,122,63,1.9369999999999998,0.78,0.605
張家浩12,29,興農,2005,中華民國,左打,右投,101,428,385,40,45,97,78,11,6,2,126,65,12,0.29600000000000004,0.327,0.252,6,16,2,20,0,5,5,152,89,1.7080000000000002,0.71,0.623
張家浩12,30,興農,2006,中華民國,左打,右投,78,292,256,20,38,60,52,2,5,1,75,38,6,0.29,0.293,0.23399999999999999,1,16,0,18,0,2,6,110,64,1.719,0.5,0.583
張家浩12,32,興農,2008,中華民國,左打,右投,73,169,149,14,16,32,30,1,1,0,35,32,5,0.285,0.235,0.215,3,3,1,13,1,2,0,54,35,1.5430000000000001,1.0,0.52
張家浩12,34,Lamigo,2010,中華民國,左打,右投,82,221,195,14,17,39,31,3,5,0,52,34,1,0.267,0.267,0.2,3,4,3,12,0,7,4,68,61,1.115,0.2,0.534
張家浩12,35,Lamigo,2011,中華民國,左打,右投,37,99,79,6,15,15,13,1,1,0,18,11,1,0.309,0.228,0.19,1,5,1,14,0,0,0,33,26,1.2690000000000001,1.0,0.537
張家源6,25,統一7-ELEVEn獅,2005,中華民國,右打,右投,56,130,105,7,13,22,19,1,2,0,27,18,0,0.28800000000000003,0.257,0.21,3,12,1,8,0,4,3,49,29,1.69,0.0,0.545
張家源6,26,統一7-ELEVEn獅,2006,中華民國,右打,右投,43,81,69,5,7,14,12,2,0,0,16,13,0,0.257,0.23199999999999998,0.203,0,7,0,4,0,1,0,29,20,1.45,0.0,0.489
張家源6,27,統一7-ELEVEn獅,2007,中華民國,右打,右投,24,9,8,0,6,1,1,0,0,0,1,3,0,0.222,0.125,0.125,0,0,0,1,0,0,0,1,3,0.33299999999999996,0.0,0.34700000000000003
張家源6,28,中信,2008,中華民國,右打,右投,62,195,169,9,26,44,35,7,1,1,56,26,1,0.34700000000000003,0.331,0.26,2,2,1,19,0,4,1,50,52,0.9620000000000001,0.5,0.6779999999999999
張家豪0,24,興農,1996,中華民國,左打,左投,31,63,59,11,4,16,14,1,0,1,20,19,0,0.302,0.33899999999999997,0.271,1,0,1,3,0,0,1,14,11,1.273,0.0,0.6409999999999999
張家豪0,25,興農,1997,中華民國,左打,左投,70,177,157,8,18,30,24,3,2,1,40,33,1,0.278,0.255,0.191,5,1,0,18,0,1,2,68,27,2.519,0.33,0.5329999999999999
張家豪0,26,興農,1998,中華民國,左打,左投,87,310,266,35,34,66,48,11,3,4,95,47,5,0.337,0.35700000000000004,0.248,7,3,3,33,1,4,5,102,57,1.7890000000000001,0.5,0.6940000000000001
張建勳0,22,俊國,1994,中華民國,右打,右投,66,171,159,8,15,31,29,1,1,0,34,24,8,0.223,0.214,0.195,4,5,1,5,0,1,5,62,48,1.2919999999999998,0.62,0.43700000000000006
張建勳0,23,俊國,1995,中華民國,右打,右投,58,76,67,5,14,10,8,2,0,0,12,13,2,0.237,0.179,0.149,1,0,1,8,0,0,2,26,19,1.368,0.5,0.41600000000000004
張建勳0,24,興農,1996,中華民國,右打,右投,58,147,137,8,18,28,22,5,1,0,35,25,3,0.23199999999999998,0.255,0.204,1,5,0,5,0,0,1,49,40,1.225,0.75,0.48700000000000004
張建勳0,25,興農,1997,中華民國,右打,右投,64,144,131,13,18,30,25,3,1,1,38,28,4,0.266,0.29,0.22899999999999998,1,5,1,6,0,1,0,40,39,1.026,1.0,0.556
張建勳0,26,興農,1998,中華民國,右打,右投,78,272,247,11,29,48,44,4,0,0,52,37,16,0.23399999999999999,0.21100000000000002,0.19399999999999998,4,11,1,12,0,1,3,106,67,1.5819999999999999,0.84,0.445
張建勳0,27,三商,1999,中華民國,右打,右投,81,259,238,11,20,57,51,5,1,0,64,18,16,0.287,0.26899999999999996,0.239,5,5,0,15,0,1,7,95,73,1.301,0.7,0.556
張建銘,24,興農,2004,中華民國,左打,左投,34,149,134,13,24,39,31,7,0,1,49,25,3,0.326,0.366,0.29100000000000004,2,4,2,6,1,2,3,51,25,2.04,0.5,0.6920000000000001
